Field,Value,Type of Entry,Notes,,
  Gerry,Roop
Profile Type,Emitter,Either Activity or EmitterIdentifies what is in this sheet or file
Name,G_C_Connector_Threaded,"Free form, but referenced in the Model Formulation"
Sector,Gathering,Free Form,Industry segment (free form field),,
Major Equipment,Compressor,Pick List,"Major equipment type, used for QC checks",,
Emitter,Connector_Threaded,Free Form,Name of the emitter,,
Active Mode,OP,"Pick List, dependent on major euqipment type","Mode when this is active, may be list of multiple mode IDs.",,
Distribution Type,Histogram,Pick List,Histogram or Analytic,,
Value Column Name,Emission Rate,,
Gas Type,WholeGas,Pick List,What is being emitted,,
Screened Components,30956.3638,FP Number
Emitting Components,778.46,FP Number,Emitting components must be <= screened components,,
Data Origin,"GEF Study, AvgFactor.xlsx, Sheet 'C Connector Flanged'",Free form,Anything you want,,
Notes,,
%%%ENDOFMETADATA%%%,,
Sample ID,Value,Frequency
1193,100.975,3
1194,101.075,2
1195,101.125,5
1196,101.175,1
1197,101.375,4
1198,101.475,3
1199,101.525,7
1200,101.675,9
1201,101.775,8
1202,101.875,2
1203,102.125,2
1204,102.225,3
1205,102.275,8
1206,102.475,3
1207,102.525,1
1208,102.725,4
1209,102.825,1
1210,102.875,2
1211,102.975,1
1212,103.375,2
1213,104.325,1
1214,104.625,3
1215,126.875,2
1216,128.075,1
1217,128.775,2
1218,128.875,1
1219,129.075,1
1220,129.275,2
1221,129.525,10
1222,129.575,3
1223,129.675,6
1224,129.725,6
1225,129.775,2
1226,129.825,2
1227,129.875,10
1228,129.925,1
1229,129.975,4
1230,130.025,1
1231,130.075,3
1232,130.125,9
1233,130.225,2
1234,130.325,6
1235,130.425,1
1236,130.475,5
1237,130.575,1
1238,130.625,6
1239,130.725,5
1240,130.775,4
1241,130.825,2
1242,130.875,5
1243,130.925,1
1244,130.975,5
1245,131.025,10
1246,131.075,3
1247,131.125,4
1248,131.225,2
1249,131.275,1
1250,131.325,5
1251,131.375,7
1252,131.425,15
1253,131.475,14
1254,131.575,7
1255,131.625,13
1256,131.675,5
1257,131.725,1
1258,131.775,5
1259,131.825,6
1260,131.925,6
1261,131.975,3
1262,132.025,4
1263,132.075,4
1264,132.125,6
1265,132.175,6
1266,132.225,5
1267,132.275,5
1268,132.325,3
1269,132.375,6
1270,132.425,9
1271,132.475,6
1272,132.525,12
1273,132.575,5
1274,132.625,1
1275,132.675,2
1276,132.725,5
1277,132.775,15
1278,132.825,17
1279,132.875,5
1280,132.925,3
1281,132.975,6
1282,133.025,4
1283,133.075,8
1284,133.125,3
1285,133.175,3
1286,133.225,9
1287,133.275,16
1288,133.325,9
1289,133.375,5
1290,133.425,2
1291,133.475,12
1292,133.525,8
1293,133.575,12
1294,133.625,9
1295,133.675,9
1296,133.725,17
1297,133.775,10
1298,133.825,13
1299,133.875,8
1300,133.925,5
1301,133.975,6
1302,134.025,11
1303,134.075,18
1304,134.125,4
1305,134.175,16
1306,134.275,4
1307,134.325,11
1308,134.375,10
1309,134.425,1
1310,134.475,11
1311,134.525,13
1312,134.575,13
1313,134.625,12
1314,134.675,1
1315,134.725,9
1316,134.775,10
1317,134.825,13
1318,134.875,31
1319,134.925,3
1320,134.975,4
1321,135.025,18
1322,135.075,6
1323,135.125,20
1324,135.175,1
1325,135.225,13
1326,135.275,27
1327,135.325,1
1328,135.375,11
1329,135.425,18
1330,135.475,5
1331,135.525,18
1332,135.575,11
1333,135.625,19
1334,135.675,2
1335,135.725,20
1336,135.775,14
1337,135.825,11
1338,135.875,9
1339,135.925,6
1340,135.975,1
1341,136.025,22
1342,136.075,4
1343,136.125,12
1344,136.175,21
1345,136.225,13
1346,136.275,6
1347,136.325,6
1348,136.375,7
1349,136.425,16
1350,136.475,16
1351,136.525,13
1352,136.575,8
1353,136.625,4
1354,136.675,15
1355,136.725,4
1356,136.775,10
1357,136.825,18
1358,136.875,13
1359,136.925,10
1360,136.975,14
1361,137.025,13
1362,137.075,12
1363,137.125,11
1364,137.175,16
1365,137.225,8
1366,137.275,6
1367,137.325,7
1368,137.375,17
1369,137.425,14
1370,137.475,16
1371,137.525,10
1372,137.575,9
1373,137.625,12
1374,137.675,8
1375,137.725,9
1376,137.775,12
1377,137.825,4
1378,137.875,5
1379,137.925,12
1380,137.975,8
1381,138.025,12
1382,138.075,5
1383,138.125,3
1384,138.175,13
1385,138.225,1
1386,138.325,2
1387,138.375,12
1388,138.425,4
1389,138.475,3
1390,138.525,10
1391,138.575,9
1392,138.625,11
1393,138.675,9
1394,138.725,6
1395,138.775,16
1396,138.825,10
1397,138.875,3
1398,138.925,13
1399,138.975,8
1400,139.075,2
1401,139.125,4
1402,139.175,4
1403,139.225,14
